label,message
ham,Hey are we still meeting for lunch tomorrow at 1pm
ham,Please send me the project report by Friday evening
ham,Your appointment is confirmed for Monday morning
ham,Can you call me when you reach home
ham,The team meeting has been moved to 3pm today
ham,Your train booking is confirmed and the ticket is attached
ham,Thank you for your payment your receipt is available online
ham,Reminder your class starts at 10am tomorrow
ham,The client approved the proposal please update the task board
ham,Your delivery will arrive between 2pm and 5pm today
ham,Hi this is Priya are you coming to the reunion this Saturday
ham,Your bank statement for this month is now available
ham,Please review the pull request when you have time
ham,Your electricity bill payment was successful
ham,The documents are ready for collection at the office
ham,We have scheduled your interview for June 1st
ham,Happy birthday hope you have a wonderful day
ham,Your doctor appointment reminder is set for tomorrow
ham,The password reset you requested was completed successfully
ham,Let me know if the meeting time works for you
spam,Congratulations you have won a free gift card click now to claim
spam,URGENT your bank account has been suspended verify your password immediately
spam,You have won 3 lakh rupees call now and share bank details
spam,Claim your free iPhone today limited winners only click the link
spam,Your PayPal account will be closed enter password and CVV now
spam,Get cash loan approved instantly no documents required apply now
spam,You are selected for a lottery prize send processing fee today
spam,Double your bitcoin guaranteed send crypto and receive more back
spam,Income tax refund pending share Aadhaar PAN and bank account details
spam,Your SBI KYC is incomplete update details within 24 hours or account blocked
spam,Winner your mobile number has been selected claim prize immediately
spam,Limited time offer earn money from home click this link now
spam,Security alert verify your card number OTP and CVV to restore access
spam,Free recharge available for your number claim before midnight
spam,Your account is locked login at secure-bank-login now
spam,Act now you have been chosen for a special cash reward
spam,Government refund approved provide account number and IFSC immediately
spam,Your package is held pay small fee to release delivery
spam,Investment opportunity guaranteed profit transfer money today
spam,Final warning your wallet expires verify secret phrase now
